,,Date,Close,12-day EMA,26-day EMA,MACD                    (12-day EMA - 26-day EMA),PPO                       ,
,1,13-Apr-10,21.16,22.27,21.89,0.37,1.71,
,2,14-Apr-10,20.49,22.44,22.00,0.43,1.97,
,3,15-Apr-10,20.74,22.68,22.15,0.53,2.39,
,4,16-Apr-10,20.77,22.85,22.27,0.58,2.59,
,5,19-Apr-10,20.53,23.00,22.39,0.61,2.73,
,6,20-Apr-10,19.61,23.15,22.50,0.64,2.85,
,7,21-Apr-10,20.02,23.22,22.59,0.63,2.81,
,8,22-Apr-10,19.70,23.31,22.68,0.63,2.80,
,9,23-Apr-10,19.94,23.40,22.77,0.63,2.78,
,10,26-Apr-10,19.62,23.44,22.83,0.61,2.65,
,11,27-Apr-10,19.11,23.40,22.86,0.54,2.37,
,12,28-Apr-10,19.32,23.35,22.88,0.48,2.08,
,13,29-Apr-10,19.61,23.35,22.91,0.44,1.92,
,14,30-Apr-10,19.54,23.25,22.89,0.35,1.54,
,15,3-May-10,18.89,23.22,22.91,0.32,1.38,
,16,4-May-10,19.33,23.10,22.87,0.23,0.99,
,17,5-May-10,19.21,22.95,22.82,0.14,0.59,
,18,6-May-10,19.51,22.73,22.72,0.01,0.05,
,19,7-May-10,19.55,22.51,22.62,-0.10,-0.46,
,20,10-May-10,19.92,22.52,22.61,-0.09,-0.41,
,21,11-May-10,20.29,22.48,22.59,-0.11,-0.47,
,22,12-May-10,20.58,22.58,22.63,-0.05,-0.22,
,23,13-May-10,20.52,22.56,22.62,-0.05,-0.23,
,24,14-May-10,20.69,22.46,22.56,-0.10,-0.45,
,25,17-May-10,20.67,22.39,22.52,-0.13,-0.57,
,26,18-May-10,20.72,22.24,22.44,-0.20,-0.88,
,27,19-May-10,20.25,22.15,22.38,-0.23,-1.04,
,28,20-May-10,20.56,21.94,22.26,-0.32,-1.46,
,29,21-May-10,20.49,21.78,22.16,-0.38,-1.72,
,30,24-May-10,20.39,21.61,22.05,-0.44,-2.01,
